PrecinctKey,color
Apache 0029,#66f
Apache 0017,#66f
Apache 0008,#66f
Apache 0042,#66f
Apache 0002,#66f
Apache 0004,#f66
Apache 0027,#66f
Apache 0018,#66f
Apache 0003,#66f
Apache 0014,#f66
Apache 0038,#66f
Apache 0005,#66f
Apache 0030,#66f
Apache 0039,#66f
Apache 0043,#66f
Apache 0021,#66f
Apache 0013,#66f
Apache 0001,#f66
Apache 0015,#66f
Apache 0040,#66f
Apache 0028,#66f
Apache 0026,#66f
Apache 0024,#f66
Apache 0006,#66f
Apache 0009,#f66
Apache 0031,#66f
Apache 0041,#f66
Apache 0033,#f66
Apache 0010,#f66
Apache 0020,#66f
Apache 0044,#66f
Apache 0016,#66f
Apache 0022,#66f
Apache 0012,#66f
Apache 0019,#66f
Apache 0023,#66f
Apache 0007,#f66
Apache 0037,#66f
Apache 0036,#f66
Apache 0034,#66f
Apache 0032,#f66
Apache 0025,#66f
Apache 0035,#66f
Apache 0011,#66f
Cochise 0029,#faa
Cochise 0017,#f66
Cochise 0008,#f66
Cochise 0042,#faa
Cochise 0002,#f66
Cochise 0004,#66f
Cochise 0027,#faa
Cochise 0018,#66f
Cochise 0003,#faa
Cochise 0014,#f66
Cochise 0038,#faa
Cochise 0005,#aaf
Cochise 0030,#faa
Cochise 0039,#faa
Cochise 0048,#f66
Cochise 0043,#f66
Cochise 0021,#f66
Cochise 0013,#66f
Cochise 0001,#f66
Cochise 0015,#f66
Cochise 0040,#f66
Cochise 0028,#faa
Cochise 0046,#f66
Cochise 0026,#faa
Cochise 0024,#f66
Cochise 0006,#aaf
Cochise 0045,#f66
Cochise 0049,#f66
Cochise 0009,#66f
Cochise 0031,#faa
Cochise 0041,#f66
Cochise 0033,#faa
Cochise 0010,#66f
Cochise 0047,#f66
Cochise 0020,#66f
Cochise 0044,#f66
Cochise 0016,#faa
Cochise 0022,#faa
Cochise 0012,#66f
Cochise 0019,#f66
Cochise 0023,#f66
Cochise 0007,#faa
Cochise 0037,#f66
Cochise 0036,#faa
Cochise 0034,#faa
Cochise 0032,#f66
Cochise 0025,#f66
Cochise 0035,#f66
Cochise 0011,#66f
Coconino 0075,#faa
Coconino 0017,#aaf
Coconino 0074,#faa
Coconino 0063,#f66
Coconino 0071,#66f
Coconino 0067,#66f
Coconino 0090,#66f
Coconino 0098,#f66
Coconino 0008,#66f
Coconino 0066,#f66
Coconino 0052,#faa
Coconino 0042,#66f
Coconino 0053,#f66
Coconino 0088,#66f
Coconino 0002,#66f
Coconino 0004,#66f
Coconino 0064,#f66
Coconino 0093,#66f
Coconino 0040,#faa
Coconino 0062,#aaf
Coconino 0069,#66f
Coconino 0065,#66f
Coconino 0003,#66f
Coconino 0014,#66f
Coconino 0080,#f66
Coconino 0005,#aaf
Coconino 0013,#66f
Coconino 0018,#aaf
Coconino 0048,#66f
Coconino 0051,#faa
Coconino 0079,#f66
Coconino 0021,#aaf
Coconino 0043,#66f
Coconino 0050,#faa
Coconino 0082,#aaf
Coconino 0001,#66f
Coconino 0055,#aaf
Coconino 0015,#66f
Coconino 0083,#aaf
Coconino 0058,#f66
Coconino 0026,#aaf
Coconino 0099,#faa
Coconino 0024,#aaf
Coconino 0006,#aaf
Coconino 0061,#66f
Coconino 0073,#f66
Coconino 0086,#faa
Coconino 0070,#66f
Coconino 0060,#66f
Coconino 0009,#66f
Coconino 0041,#f66
Coconino 0085,#faa
Coconino 0010,#66f
Coconino 0047,#66f
Coconino 0095,#66f
Coconino 0097,#faa
Coconino 0094,#66f
Coconino 0020,#66f
Coconino 0025,#aaf
Coconino 0016,#aaf
Coconino 0022,#aaf
Coconino 0012,#66f
Coconino 0084,#faa
Coconino 0019,#aaf
Coconino 0023,#66f
Coconino 0007,#aaf
Coconino 0092,#faa
Coconino 0059,#66f
Coconino 0056,#aaf
Coconino 0072,#faa
Coconino 0011,#66f
Gila 0105,#faa
Gila 0140,#faa
Gila 0300,#66f
Gila 0125,#faa
Gila 0340,#f66
Gila 0410,#66f
Gila 0180,#faa
Gila 0185,#faa
Gila 0165,#faa
Gila 0175,#f66
Gila 0200,#f66
Gila 0335,#f66
Gila 0110,#ddd
Gila 0160,#f66
Gila 0240,#f66
Gila 0345,#f66
Gila 0210,#f66
Gila 0100,#faa
Gila 0225,#f66
Gila 0220,#f66
Gila 0305,#f66
Gila 0400,#66f
Gila 0230,#f66
Gila 0405,#66f
Gila 0235,#f66
Gila 0120,#faa
Gila 0310,#f66
Gila 0135,#f66
Gila 0150,#faa
