pct16,color
001-200100,#f66
001-200200,#f66
001-200300,#f66
001-200600,#f66
001-200700,#f66
001-200800,#f66
001-201000,#f66
001-201100,#f66
001-201300,#f66
001-201400,#f66
001-201410,#f66
001-201500,#f66
001-201700,#f66
001-201710,#f66
001-201800,#f66
001-201900,#f66
001-202010,#f66
001-202110,#f66
001-202310,#f66
001-202500,#f66
001-202520,#f66
001-202540,#f66
001-202600,#f66
001-202620,#f66
001-202710,#f66
001-202900,#f66
001-203100,#f66
001-203200,#f66
001-203300,#f66
001-203400,#f66
001-203500,#f66
001-203800,#f66
001-204000,#f66
001-204100,#f66
001-204210,#f66
001-204220,#f66
001-204230,#f66
001-204240,#f66
001-204300,#f66
001-204310,#f66
001-204510,#f66
001-204600,#f66
001-204900,#f66
001-204910,#f66
001-205000,#f66
001-205100,#f66
001-205200,#f66
001-205500,#f66
001-205600,#f66
001-205700,#f66
001-205800,#f66
001-205900,#f66
001-206000,#f66
001-206100,#f66
001-206200,#f66
001-206300,#f66
001-206400,#f66
001-206600,#f66
001-206900,#f66
001-207000,#f66
001-207010,#f66
001-207100,#f66
001-207200,#f66
001-207300,#f66
001-207500,#f66
001-207600,#f66
001-207700,#f66
001-208000,#f66
001-208010,#f66
001-208100,#f66
001-208110,#f66
001-208200,#f66
001-208210,#f66
001-208300,#f66
001-208310,#f66
001-208400,#f66
001-208500,#f66
001-208510,#f66
001-208600,#f66
001-208610,#f66
001-208650,#f66
001-208700,#f66
001-208800,#f66
001-208810,#f66
001-208900,#f66
001-208910,#f66
001-208920,#f66
001-209000,#f66
001-209010,#f66
001-209100,#f66
001-209110,#f66
001-209200,#f66
001-209300,#f66
001-209310,#f66
001-209400,#f66
001-209410,#f66
001-209510,#f66
001-209600,#f66
001-209610,#f66
001-209700,#f66
001-209710,#f66
001-209800,#f66
001-209900,#f66
001-213100,#f66
001-213300,#f66
001-213400,#f66
001-213500,#f66
001-213600,#f66
001-213700,#f66
001-213800,#f66
001-213900,#f66
001-214100,#f66
001-214200,#f66
001-214300,#f66
001-214400,#f66
001-214500,#f66
001-214600,#f66
001-214800,#f66
001-215100,#f66
001-215120,#f66
001-215200,#f66
001-215300,#f66
001-215500,#f66
001-215610,#f66
001-215700,#f66
001-215800,#f66
001-215900,#f66
001-223000,#f66
001-223010,#f66
001-223200,#f66
001-223300,#f66
001-223400,#f66
001-224000,#f66
001-224200,#f66
001-224400,#f66
001-224500,#f66
001-224600,#f66
001-224700,#f66
001-224800,#f66
001-225000,#f66
001-225100,#f66
001-225200,#f66
001-225400,#f66
001-225600,#f66
001-225700,#f66
001-225710,#f66
001-225810,#f66
001-225900,#f66
001-225910,#f66
001-226100,#f66
001-226200,#f66
001-226300,#f66
001-226400,#f66
001-244000,#f66
001-244100,#f66
001-244200,#f66
001-244300,#f66
001-244400,#f66
001-244500,#f66
001-244600,#f66
001-244700,#f66
001-244800,#f66
001-244900,#f66
001-245000,#f66
001-245100,#f66
001-245200,#f66
001-260100,#f66
001-260300,#f66
001-260400,#f66
001-260610,#f66
001-260800,#f66
001-260900,#f66
001-261000,#f66
001-261300,#f66
001-261400,#f66
001-261600,#f66
001-261700,#f66
001-262000,#f66
001-262100,#f66
001-280100,#f66
001-280500,#f66
001-280700,#f66
001-281000,#f66
001-281300,#f66
001-281600,#f66
001-300000,#f66
001-300100,#f66
001-300110,#f66
001-300120,#f66
001-300140,#f66
001-300150,#f66
001-300170,#f66
001-300180,#f66
001-300210,#f66
001-300300,#f66
001-300400,#f66
001-301100,#f66
001-301200,#f66
001-301400,#f66
001-301520,#f66
001-301800,#f66
001-301900,#f66
001-302000,#f66
001-302100,#f66
001-302200,#f66
001-302400,#f66
001-302500,#f66
001-302510,#f66
001-302700,#f66
001-303000,#f66
001-303300,#f66
001-303400,#f66
001-303500,#f66
001-303600,#f66
001-303800,#f66
001-304000,#f66
001-304120,#f66
001-304200,#f66
001-304500,#f66
001-304600,#f66
001-304700,#f66
001-304800,#f66
001-304900,#f66
001-305000,#f66
001-305010,#f66
001-305100,#f66
001-305400,#f66
001-305410,#f66
001-305500,#f66
001-305600,#f66
001-305700,#f66
001-310000,#f66
001-310100,#f66
001-310200,#f66
001-310300,#f66
001-310400,#f66
001-310500,#f66
001-310600,#f66
001-310700,#f66
001-310900,#f66
001-311100,#f66
001-311200,#f66
001-311400,#f66
001-311500,#f66
001-311700,#f66
001-323000,#f66
001-323200,#f66
001-325100,#f66
001-325110,#f66
001-325200,#f66
001-325300,#f66
001-325400,#f66
001-325500,#f66
001-325510,#f66
001-325600,#f66
001-325700,#f66
001-325800,#f66
001-333100,#f66
001-333200,#f66
001-333210,#f66
001-333400,#f66
001-333410,#f66
001-333500,#f66
001-333510,#f66
001-333600,#f66
001-333800,#f66
001-333900,#f66
001-334000,#f66
001-334100,#f66
001-334600,#f66
001-334700,#f66
001-335000,#f66
001-335100,#f66
001-335200,#f66
001-335300,#f66
001-335400,#f66
001-335500,#f66
001-335700,#f66
001-335710,#f66
001-335810,#f66
001-335900,#f66
001-336100,#f66
001-336110,#f66
001-336200,#f66
001-336400,#f66
001-336500,#f66
001-336600,#f66
001-336610,#f66
001-336710,#f66
001-336900,#f66
001-336910,#f66
001-337000,#f66
001-337100,#f66
001-337110,#f66
001-337200,#f66
001-344000,#f66
001-344010,#f66
001-344100,#f66
001-344200,#f66
001-344400,#f66
001-344500,#f66
001-344600,#f66
001-344700,#f66
001-344800,#f66
001-344900,#f66
001-345000,#f66
001-345100,#f66
001-345200,#f66
001-345310,#f66
001-345400,#f66
001-345500,#f66
001-345600,#f66
001-345700,#f66
001-345800,#f66
001-345900,#f66
001-346000,#f66
001-346100,#f66
001-346200,#f66
001-347110,#f66
001-347200,#f66
001-347300,#f66
001-353300,#f66
001-353310,#f66
001-353400,#f66
001-353500,#f66
001-353600,#f66
001-353800,#f66
001-353900,#f66
001-354000,#f66
001-354100,#f66
001-354110,#f66
001-354300,#f66
001-354400,#f66
001-354500,#f66
001-354700,#f66
001-354900,#f66
001-354910,#f66
001-355000,#f66
001-355100,#f66
001-356000,#f66
001-356200,#f66
001-356210,#f66
001-356400,#f66
001-356500,#f66
001-361000,#f66
001-361130,#f66
001-361200,#f66
001-361300,#f66
001-361500,#f66
001-362100,#f66
001-362110,#f66
001-362300,#f66
001-362500,#f66
001-362510,#f66
001-362600,#f66
001-362700,#f66
001-362800,#f66
001-362900,#f66
001-363000,#f66
001-363100,#f66
001-363200,#f66
001-363310,#f66
001-363600,#f66
001-364200,#f66
001-364300,#f66
001-364310,#f66
001-364400,#f66
001-364510,#f66
001-364600,#f66
001-364700,#f66
001-364800,#f66
001-364900,#f66
001-365000,#f66
001-365200,#f66
001-373100,#f66
001-373400,#f66
001-373500,#f66
001-373900,#f66
001-380200,#f66
001-380300,#f66
001-380400,#f66
001-380600,#f66
001-380700,#f66
001-400100,#f66
001-400200,#f66
001-400300,#f66
001-400400,#f66
001-400500,#f66
001-400600,#f66
001-400700,#f66
001-400800,#f66
001-400900,#f66
001-401100,#f66
001-410100,#f66
001-410300,#f66
001-410400,#f66
001-410500,#f66
001-410600,#f66
001-415000,#f66
001-415200,#f66
001-415300,#f66
001-415500,#f66
001-415600,#f66
001-415800,#f66
001-415900,#f66
001-420500,#f66
001-420600,#f66
001-420700,#f66
001-420900,#f66
001-421000,#f66
001-421100,#f66
001-421200,#f66
001-421300,#f66
001-421400,#f66
001-421510,#f66
001-421700,#f66
001-421900,#f66
001-422000,#f66
001-422100,#f66
001-422300,#f66
001-422600,#f66
001-422700,#f66
001-422810,#f66
001-422900,#f66
001-422910,#f66
001-422920,#f66
001-423000,#f66
001-423100,#f66
001-423400,#f66
001-423500,#f66
001-423600,#f66
001-423610,#f66
001-423710,#f66
001-424000,#f66
001-424100,#f66
001-424300,#f66
001-424400,#f66
001-430170,#f66
001-430400,#f66
001-430600,#f66
001-430700,#f66
001-430900,#f66
001-431100,#f66
001-431800,#f66
001-432010,#f66
001-432110,#f66
001-432200,#f66
001-432300,#f66
001-432400,#f66
001-432600,#f66
001-432700,#f66
001-432810,#f66
001-432900,#f66
001-433100,#f66
001-433200,#f66
001-433400,#f66
001-433500,#f66
001-433610,#f66
001-433700,#f66
001-433900,#f66
001-440100,#f66
001-440300,#f66
001-440400,#f66
001-440610,#f66
001-440800,#f66
001-440900,#f66
001-441100,#f66
001-441300,#f66
001-441400,#f66
001-442100,#f66
001-442600,#f66
001-442700,#f66
001-443000,#f66
001-443100,#f66
001-443200,#f66
001-443300,#f66
001-443400,#f66
001-443500,#f66
001-447200,#f66
001-447600,#f66
001-450300,#f66
001-450400,#f66
001-450610,#f66
001-450800,#f66
001-451000,#f66
001-451510,#f66
001-451600,#f66
001-451700,#f66
001-452100,#f66
001-452200,#f66
001-452400,#f66
001-452500,#f66
001-453100,#f66
001-453300,#f66
001-453400,#f66
001-453500,#f66
001-453900,#f66
001-453920,#f66
001-454100,#f66
001-454500,#f66
001-455000,#f66
001-455100,#f66
001-455300,#f66
001-455400,#f66
001-455500,#f66
001-455700,#f66
001-455900,#f66
001-456200,#f66
001-456500,#f66
001-456600,#f66
001-456900,#f66
001-457100,#f66
001-457300,#f66
001-457400,#f66
001-457500,#f66
001-457700,#f66
001-457900,#f66
001-458200,#f66
001-458300,#f66
001-458500,#f66
001-458800,#f66
001-458900,#f66
001-470400,#f66
001-470600,#f66
001-470900,#f66
001-471300,#f66
001-471800,#f66
001-471900,#f66
001-472000,#f66
001-472200,#f66
001-472300,#f66
001-472400,#f66
001-472500,#f66
001-473300,#f66
001-473400,#f66
001-473500,#faa
001-473600,#f66
001-473800,#f66
001-473900,#f66
001-474010,#f66
001-474020,#f66
001-474300,#f66
001-474500,#f66
001-474600,#f66
001-474700,#f66
001-474900,#f66
001-475000,#f66
001-475100,#f66
001-475200,#faa
001-475500,#f66
001-475520,#f66
001-475540,#f66
001-476100,#f66
001-476110,#f66
001-481200,#f66
001-481410,#f66
001-481500,#f66
001-481800,#f66
001-483000,#f66
001-491000,#f66
001-491100,#f66
001-491200,#f66
001-491300,#f66
001-491500,#f66
001-500100,#faa
001-500110,#faa
001-500120,#faa
001-500130,#faa
001-500140,#faa
001-500200,#faa
001-500210,#faa
001-500230,#faa
001-500300,#f66
001-500310,#faa
001-500320,#f66
001-500340,#faa
001-500400,#faa
001-500410,#faa
001-500500,#faa
001-500600,#faa
001-500700,#faa
001-500910,#faa
001-501000,#f66
001-501200,#faa
001-501300,#faa
001-501400,#f66
001-501410,#faa
001-501600,#faa
001-501610,#faa
001-501620,#faa
001-501630,#faa
001-501640,#faa
001-501800,#faa
001-501830,#faa
001-501840,#faa
001-501910,#faa
001-502000,#faa
001-502010,#faa
001-502020,#faa
001-502030,#faa
001-502100,#faa
001-502200,#faa
001-502210,#faa
001-502220,#faa
001-502400,#faa
001-502410,#f66
001-502500,#faa
001-502600,#f66
001-502710,#f66
001-502720,#faa
001-502740,#faa
001-502800,#faa
001-502900,#faa
001-502920,#f66
001-520110,#faa
001-520210,#faa
001-520220,#faa
001-520230,#faa
001-520240,#faa
001-520300,#f66
001-520310,#f66
001-520320,#f66
001-520400,#f66
001-520420,#faa
001-520500,#faa
001-520600,#f66
001-520610,#f66
001-520630,#f66
001-520700,#faa
001-520710,#faa
001-520810,#f66
001-520820,#faa
001-520840,#faa
001-520860,#f66
001-520870,#faa
001-521100,#f66
001-521110,#f66
001-521300,#f66
001-521500,#f66
001-522000,#f66
001-522020,#f66
001-522110,#f66
001-522120,#faa
001-522130,#f66
001-522140,#f66
001-522150,#f66
001-522200,#f66
001-522400,#f66
001-523100,#f66
001-523110,#f66
001-523120,#faa
001-523300,#f66
001-523700,#faa
001-523710,#f66
001-523720,#faa
