NAME10,Trump,Clinton
Santa Fe County Precinct 1,192,512
Santa Fe County Precinct 2,47,98
Santa Fe County Precinct 3,41,213
Santa Fe County Precinct 4,16,49
Santa Fe County Precinct 5,140,430
Santa Fe County Precinct 6,3,100
Santa Fe County Precinct 7,64,286
Santa Fe County Precinct 8,103,642
Santa Fe County Precinct 9,153,677
Santa Fe County Precinct 10,247,1049
Santa Fe County Precinct 11,155,1020
Santa Fe County Precinct 12,154,627
Santa Fe County Precinct 13,198,937
Santa Fe County Precinct 14,113,364
Santa Fe County Precinct 15,349,198
Santa Fe County Precinct 16,118,86
Santa Fe County Precinct 17,62,210
Santa Fe County Precinct 18,406,168
Santa Fe County Precinct 19,83,59
Santa Fe County Precinct 20,84,709
Santa Fe County Precinct 21,188,1085
Santa Fe County Precinct 22,100,642
Santa Fe County Precinct 23,117,368
Santa Fe County Precinct 24,89,578
Santa Fe County Precinct 25,46,394
Santa Fe County Precinct 26,32,318
Santa Fe County Precinct 27,73,651
Santa Fe County Precinct 28,60,382
Santa Fe County Precinct 29,243,782
Santa Fe County Precinct 30,120,665
Santa Fe County Precinct 31,79,330
Santa Fe County Precinct 32,123,797
Santa Fe County Precinct 33,86,586
Santa Fe County Precinct 34,125,758
Santa Fe County Precinct 35,38,187
Santa Fe County Precinct 36,52,389
Santa Fe County Precinct 37,102,574
Santa Fe County Precinct 38,184,707
Santa Fe County Precinct 39,128,380
Santa Fe County Precinct 40,30,159
Santa Fe County Precinct 41,33,224
Santa Fe County Precinct 42,53,420
Santa Fe County Precinct 43,52,379
Santa Fe County Precinct 44,51,626
Santa Fe County Precinct 45,64,312
Santa Fe County Precinct 46,51,296
Santa Fe County Precinct 47,78,656
Santa Fe County Precinct 48,178,1103
Santa Fe County Precinct 49,114,418
Santa Fe County Precinct 50,99,535
Santa Fe County Precinct 51,102,470
Santa Fe County Precinct 52,178,776
Santa Fe County Precinct 53,166,717
Santa Fe County Precinct 54,172,811
Santa Fe County Precinct 55,169,1063
Santa Fe County Precinct 56,231,626
Santa Fe County Precinct 57,121,367
Santa Fe County Precinct 58,127,340
Santa Fe County Precinct 59,150,395
Santa Fe County Precinct 60,76,132
Santa Fe County Precinct 61,151,560
Santa Fe County Precinct 62,135,554
Santa Fe County Precinct 63,134,519
Santa Fe County Precinct 64,162,649
Santa Fe County Precinct 65,264,1291
Santa Fe County Precinct 66,204,769
Santa Fe County Precinct 67,230,929
Santa Fe County Precinct 68,128,628
Santa Fe County Precinct 69,250,1274
Santa Fe County Precinct 70,480,1553
Santa Fe County Precinct 71,245,975
Santa Fe County Precinct 72,140,751
Santa Fe County Precinct 73,618,309
Santa Fe County Precinct 74,79,475
Santa Fe County Precinct 75,166,704
Santa Fe County Precinct 76,125,486
Santa Fe County Precinct 77,165,690
Santa Fe County Precinct 78,289,1262
Santa Fe County Precinct 79,105,277
Santa Fe County Precinct 80,102,350
Santa Fe County Precinct 81,111,391
Santa Fe County Precinct 82,300,602
Santa Fe County Precinct 83,262,908
Santa Fe County Precinct 84,668,303
Santa Fe County Precinct 85,598,246
Santa Fe County Precinct 86,269,950
Santa Fe County Precinct 87,40,113
Santa Fe County Precinct 88,240,524
Santa Fe County Precinct 89,271,775
Santa Fe County Precinct 90,393,1144
Bernalillo County Precinct 1,311,346
Bernalillo County Precinct 2,270,288
Bernalillo County Precinct 3,352,381
Bernalillo County Precinct 4,202,290
Bernalillo County Precinct 5,183,302
Bernalillo County Precinct 6,377,508
Bernalillo County Precinct 7,389,574
Bernalillo County Precinct 8,110,170
Bernalillo County Precinct 9,192,250
Bernalillo County Precinct 10,223,287
Bernalillo County Precinct 11,201,495
Bernalillo County Precinct 12,184,394
Bernalillo County Precinct 13,166,348
Bernalillo County Precinct 14,186,317
Bernalillo County Precinct 15,246,340
Bernalillo County Precinct 16,148,246
Bernalillo County Precinct 17,246,422
Bernalillo County Precinct 18,217,415
Bernalillo County Precinct 19,604,565
Bernalillo County Precinct 20,381,486
Bernalillo County Precinct 21,506,653
Bernalillo County Precinct 22,278,317
Bernalillo County Precinct 23,353,453
Bernalillo County Precinct 24,498,653
Bernalillo County Precinct 25,471,574
Bernalillo County Precinct 26,327,551
Bernalillo County Precinct 27,157,361
Bernalillo County Precinct 28,129,258
Bernalillo County Precinct 29,207,356
Bernalillo County Precinct 30,624,870
Bernalillo County Precinct 31,64,346
Bernalillo County Precinct 32,145,381
Bernalillo County Precinct 33,143,503
Bernalillo County Precinct 34,88,219
Bernalillo County Precinct 35,104,215
Bernalillo County Precinct 36,104,319
Bernalillo County Precinct 37,220,447
Bernalillo County Precinct 38,220,527
