CNTYVTD,trump,clinton,color
10001,754,261,#f66
10002,1179,228,#f66
10003,650,108,#f66
10004,729,128,#f66
10005,174,13,#f66
10006,317,385,#aaf
10007,148,499,#66f
10008,52,104,#aaf
10009,559,157,#f66
10010,278,45,#f66
10011,518,179,#f66
10013,782,256,#f66
10014,0,0,#ddd
10015,463,91,#f66
10016,335,95,#f66
10017,343,145,#f66
10018,954,245,#f66
10019,999,280,#f66
10020,519,168,#f66
10021,899,139,#f66
10022,498,127,#f66
10023,702,116,#f66
10024,410,44,#f66
30001,761,181,#f66
30002,1297,199,#f66
30003,932,205,#f66
30004,649,210,#f66
50001,174,115,#faa
50002,322,937,#66f
50003,856,233,#f66
50004,225,187,#faa
50005,604,414,#faa
50006,287,103,#f66
50007,508,37,#f66
50009,135,40,#f66
50011,1028,137,#f66
50012,427,94,#f66
50013,277,142,#faa
50014,869,311,#f66
50015,272,65,#f66
50016,571,524,#faa
50017,795,181,#f66
50018,288,82,#f66
50019,771,253,#f66
50020,157,1190,#66f
50021,612,205,#f66
50022,261,47,#f66
50023,260,51,#f66
50024,1078,223,#f66
50025,1016,227,#f66
50026,887,121,#f66
50027,207,23,#f66
50028,542,111,#f66
50029,697,149,#f66
50030,462,76,#f66
50031,169,49,#f66
50032,223,33,#f66
50033,424,55,#f66
50034,1009,248,#f66
50035,910,203,#f66
50036,2,1,#faa
50037,198,42,#f66
50038,186,32,#f66
50039,265,80,#f66
50040,306,171,#faa
70001,889,315,#f66
70002,1118,736,#faa
70003,2011,684,#f66
70004,1742,584,#f66
90001,733,97,#f66
90002,542,83,#f66
90003,195,22,#f66
90004,425,29,#f66
90005,89,12,#f66
90006,683,115,#f66
90007,136,12,#f66
90008,194,24,#f66
90009,86,20,#f66
90010,448,105,#f66
90011,69,6,#f66
110101,208,22,#f66
110201,107,29,#f66
110202,51,11,#f66
110301,166,17,#f66
110303,46,5,#f66
110401,123,8,#f66
110402,108,6,#f66
110404,19,0,#f66
130001,279,120,#f66
130002,232,221,#faa
130003,403,344,#faa
130004,63,39,#faa
130005,321,316,#faa
130006,43,3,#f66
130007,389,328,#faa
130008,166,110,#faa
130009,53,13,#f66
130010,318,198,#faa
130011,43,3,#f66
130012,385,234,#faa
130013,779,415,#faa
130014,128,105,#faa
130015,402,498,#aaf
130016,71,54,#faa
130017,286,673,#66f
130018,382,388,#aaf
130019,132,85,#faa
130020,1573,480,#f66
130021,102,32,#f66
130022,280,83,#f66
130023,188,154,#faa
130024,443,237,#faa
150101,636,153,#f66
150102,624,185,#f66
150103,822,131,#f66
150104,418,65,#f66
150205,1034,219,#f66
150206,340,71,#f66
150207,231,24,#f66
150208,386,66,#f66
150209,326,69,#f66
150210,404,69,#f66
150211,191,24,#f66
150312,336,31,#f66
150313,268,284,#aaf
150314,1141,265,#f66
150415,599,236,#f66
150416,599,142,#f66
150417,237,137,#faa
150418,673,81,#f66
170001,415,118,#f66
170002,578,92,#f66
170003,245,142,#faa
190101,812,207,#f66
190102,1243,326,#f66
190203,973,300,#f66
190204,776,240,#f66
190305,1198,282,#f66
190306,727,125,#f66
190407,963,196,#f66
190408,150,42,#f66
190409,276,96,#f66
190410,308,50,#f66
211001,928,516,#faa
211002,568,738,#aaf
211003,1792,1140,#faa
211004,599,474,#faa
212005,913,620,#faa
212006,502,253,#faa
212007,819,325,#f66
212008,374,163,#f66
212009,391,256,#faa
212010,460,208,#f66
212011,735,485,#faa
213012,372,134,#f66
213013,545,288,#faa
213014,618,548,#faa
213015,538,593,#aaf
213016,821,574,#faa
214017,654,699,#aaf
214018,255,104,#f66
214019,819,550,#faa
214020,910,930,#aaf
214021,420,266,#faa
230001,383,60,#f66
230002,297,59,#f66
230003,279,73,#f66
230004,338,75,#f66
250001,624,472,#faa
250002,152,13,#f66
250003,447,362,#faa
250004,129,52,#f66
250005,133,80,#faa
250006,357,205,#faa
250008,105,29,#f66
250009,79,308,#66f
250010,167,445,#66f
250011,89,50,#faa
250012,119,55,#f66
250013,424,288,#faa
250014,88,58,#faa
250016,358,228,#faa
250017,285,321,#aaf
250018,727,267,#f66
250019,73,219,#66f
270101,2572,708,#f66
270102,1396,356,#f66
270103,1518,585,#f66
270104,3111,694,#f66
270105,780,129,#f66
270106,812,1731,#66f
270107,181,110,#faa
270108,713,135,#f66
270109,454,745,#aaf
270110,468,350,#faa
270111,1652,842,#faa
270113,136,31,#f66
270201,921,878,#faa
270202,2050,1084,#faa
270203,3244,650,#f66
270204,503,665,#aaf
270205,870,1649,#aaf
270206,383,610,#aaf
270207,559,934,#aaf
270208,1142,2078,#aaf
270209,1782,1610,#faa
270210,870,945,#aaf
270301,1582,312,#f66
270302,1427,779,#faa
270303,1485,1020,#faa
270304,354,108,#f66
270305,1323,467,#f66
270306,366,635,#aaf
270307,320,1091,#66f
270308,439,433,#faa
270309,403,75,#f66
270310,250,43,#f66
270311,1271,247,#f66
270312,881,170,#f66
270313,1311,481,#f66
270314,951,569,#faa
270315,1856,737,#f66
270317,2642,968,#f66
270401,500,189,#f66
270402,1036,348,#f66
270405,683,1700,#66f
270406,661,713,#aaf
270408,935,1554,#aaf
270409,347,355,#aaf
270410,325,691,#66f
270412,706,1789,#66f
270413,557,1056,#aaf
291001,69,259,#66f
291002,140,226,#aaf
291003,114,581,#66f
291004,56,298,#66f
291005,46,256,#66f
291006,183,770,#66f
291007,144,514,#66f
291008,134,621,#66f
291009,186,244,#aaf
291010,53,202,#66f
291011,43,159,#66f
291012,340,640,#aaf
291013,177,801,#66f
291014,63,419,#66f
291015,94,426,#66f
291016,80,374,#66f
291017,31,67,#66f
291018,159,639,#66f
291019,59,237,#66f
291020,234,754,#66f
291021,145,565,#66f
291022,67,303,#66f
291023,153,794,#66f
291024,527,909,#aaf
291025,40,217,#66f
291026,86,486,#66f
291027,24,76,#66f
291028,73,305,#66f
291029,100,558,#66f
291030,2,1,#faa
291031,99,458,#66f
291032,112,798,#66f
291033,247,461,#aaf
291034,1357,1017,#faa
291035,223,129,#faa
291036,616,848,#aaf
291037,305,691,#66f
291038,383,769,#66f
291039,191,680,#66f
291040,139,762,#66f
291041,126,737,#66f
291042,98,456,#66f
291043,256,402,#aaf
291044,194,825,#66f
291045,233,891,#66f
291046,156,655,#66f
291047,155,584,#66f
291048,203,663,#66f
291049,237,753,#66f
291050,143,479,#66f
291051,306,563,#aaf
291052,238,581,#66f
291053,27,80,#66f
291054,220,735,#66f
291055,408,578,#aaf
291056,212,508,#66f
291057,363,417,#aaf
291058,444,500,#aaf
291059,44,79,#aaf
291060,158,897,#66f
291061,196,687,#66f
291062,69,54,#faa
291063,347,380,#aaf
291064,241,277,#aaf
291065,385,451,#aaf
291066,89,171,#aaf
291067,664,493,#faa
291068,263,321,#aaf
291069,156,191,#aaf
291070,150,309,#66f
291071,346,518,#aaf
291072,235,522,#66f
291073,1199,1171,#faa
291074,3,7,#66f
291075,209,546,#66f
291076,514,912,#aaf
291077,136,609,#66f
291078,37,183,#66f
291079,928,1322,#aaf
291080,504,1247,#66f
291081,476,146,#f66
291082,636,1182,#aaf
291083,669,838,#aaf
291084,267,561,#66f
291085,233,465,#aaf
291086,392,714,#aaf
291087,190,485,#66f
291088,68,304,#66f
291089,111,140,#aaf
291090,1,0,#f66
291091,195,562,#66f
291092,55,216,#66f
291093,188,175,#faa
291094,129,254,#aaf
291095,67,45,#faa
291096,1,5,#66f
291097,67,259,#66f
291098,75,318,#66f
291099,686,1130,#aaf
291100,534,783,#aaf
291101,0,0,#ddd
291102,195,172,#faa
291103,0,0,#ddd
291104,680,935,#aaf
291105,15,11,#faa
291106,0,0,#ddd
291107,388,548,#aaf
291108,1062,1085,#aaf
291109,2,0,#f66
291110,717,909,#aaf
291111,1054,1401,#aaf
291112,633,1299,#66f
291113,399,452,#aaf
291114,0,0,#ddd
291115,50,47,#faa
291116,102,124,#aaf
291117,40,122,#66f
291118,194,199,#aaf
291119,6,42,#66f
291120,7,39,#66f
291121,964,819,#faa
291122,1425,841,#faa
291123,106,104,#faa
291124,95,193,#66f
291125,11,28,#66f
291126,0,0,#ddd
291127,52,224,#66f
291128,30,143,#66f
291129,18,45,#66f
291130,1,1,#ddd
291131,0,0,#ddd
291132,0,0,#ddd
291133,0,0,#ddd
291134,0,0,#ddd
291135,1,0,#f66
291136,30,62,#66f
291137,0,0,#ddd
291138,0,1,#66f
291139,0,0,#ddd
292001,19,177,#66f
292002,67,426,#66f
292003,167,979,#66f
292004,161,789,#66f
292005,98,316,#66f
292006,3,10,#66f
292007,105,699,#66f
292008,74,341,#66f
292009,263,479,#aaf
292010,205,270,#aaf
292011,129,597,#66f
292012,68,445,#66f
292013,104,428,#66f
292014,112,434,#66f
292015,63,504,#66f
292016,53,343,#66f
292017,55,332,#66f
292018,100,429,#66f
292019,79,479,#66f
292020,120,796,#66f
292021,161,724,#66f
292022,86,436,#66f
292023,272,964,#66f
292024,185,512,#66f
292025,257,821,#66f
292026,419,695,#aaf
292027,254,438,#aaf
292028,400,808,#66f
292029,89,373,#66f
292030,58,473,#66f
292031,79,426,#66f
292032,43,167,#66f
292033,39,204,#66f
292034,39,240,#66f
292035,170,607,#66f
292036,387,649,#aaf
292037,523,380,#faa
292038,264,352,#aaf
292039,131,467,#66f
292040,325,771,#66f
292041,307,912,#66f
292042,125,560,#66f
292043,105,500,#66f
292044,136,629,#66f
292045,303,781,#66f
292046,315,878,#66f
292047,234,643,#66f
292048,132,448,#66f
292049,348,843,#66f
292050,321,622,#aaf
292051,75,156,#66f
292052,75,258,#66f
292053,100,351,#66f
292054,228,777,#66f
292055,321,538,#aaf
292056,153,478,#66f
292057,204,631,#66f
292058,252,640,#66f
292059,243,632,#66f
292060,175,442,#66f
292061,239,299,#aaf
292062,250,370,#aaf
292063,592,266,#f66
292064,456,688,#aaf
292065,1063,1418,#aaf
292066,1193,1006,#faa
292067,33,110,#66f
292068,1136,1161,#aaf
292069,436,710,#aaf
292070,92,639,#66f
292071,39,242,#66f
292072,756,874,#aaf
292073,193,366,#aaf
292074,67,285,#66f
292075,15,116,#66f
292076,642,608,#faa
292077,636,693,#aaf
292078,413,748,#aaf
292079,18,188,#66f
292080,128,273,#66f
292081,129,252,#aaf
292082,231,413,#aaf
292083,118,266,#66f
292084,1332,832,#faa
292085,178,455,#66f
292086,867,893,#aaf
292087,569,495,#faa
292088,855,1087,#aaf
292089,31,148,#66f
292090,223,456,#66f
292091,428,728,#aaf
292092,98,127,#aaf
292093,169,195,#aaf
292094,91,30,#f66
292095,1032,494,#f66
292096,356,468,#aaf
292097,492,719,#aaf
292098,225,356,#aaf
292099,433,331,#faa
292100,217,379,#aaf
292101,1503,1158,#faa
292102,714,739,#aaf
292103,16,78,#66f
292104,11,87,#66f
292105,391,526,#aaf
292106,77,161,#66f
292107,82,121,#aaf
292108,449,279,#faa
292109,0,0,#ddd
292110,315,375,#aaf
292111,159,295,#aaf
292112,431,564,#aaf
292113,10,24,#66f
292114,368,608,#aaf
292115,524,267,#faa
292116,1,0,#f66
292117,38,188,#66f
292118,1,10,#66f
292119,35,90,#66f
292120,19,42,#66f
292121,101,156,#aaf
292122,212,418,#aaf
292123,554,402,#faa
292124,186,195,#aaf
292125,584,575,#faa
292126,297,377,#aaf
292127,724,731,#aaf
292128,106,561,#66f
292129,0,0,#ddd
292130,1,1,#ddd
292131,45,87,#aaf
292132,3,0,#f66
292133,112,103,#faa
292134,157,300,#aaf
292135,74,183,#66f
292136,41,76,#aaf
292137,252,329,#aaf
292138,202,253,#aaf
292139,531,474,#faa
292140,219,383,#aaf
292141,328,392,#aaf
292142,85,164,#aaf
292143,585,615,#aaf
292144,406,543,#aaf
292145,126,93,#faa
292146,9,19,#66f
292147,82,107,#aaf
292148,595,865,#aaf
292149,317,474,#aaf
292150,0,3,#66f
292151,7,12,#aaf
292152,47,195,#66f
292153,43,84,#aaf
292154,265,133,#faa
292155,0,0,#ddd
292156,166,222,#aaf
292157,0,0,#ddd
292158,58,78,#aaf
292159,61,62,#aaf
292160,39,79,#66f
292161,484,574,#aaf
292162,8,4,#faa
293001,1103,483,#f66
293002,749,589,#faa
293003,30,18,#faa
293004,0,0,#ddd
293005,448,109,#f66
293006,457,311,#faa
293007,947,577,#faa
293008,47,13,#f66
293009,7,0,#f66
293010,120,158,#aaf
293011,475,298,#faa
293012,307,83,#f66
293013,548,544,#faa
293014,179,138,#faa
293015,321,281,#faa
293016,95,38,#f66
293017,731,167,#f66
293018,836,472,#faa
293019,141,169,#aaf
293020,1063,712,#faa
293021,1463,346,#f66
293022,637,429,#faa
293023,719,681,#faa
293024,0,1,#66f
293025,744,399,#faa
293026,696,378,#faa
293027,646,333,#faa
293028,639,474,#faa
293029,419,354,#faa
293030,1039,492,#f66
293031,8,12,#aaf
293032,384,486,#aaf
293033,1081,327,#f66
293034,1689,306,#f66
293035,234,199,#faa
293036,815,765,#faa
293037,857,811,#faa
293038,435,353,#faa
293039,1862,762,#f66
293040,734,509,#faa
293041,325,205,#faa
293042,1993,836,#f66
293043,1053,347,#f66
293044,665,363,#faa
293045,782,295,#f66
293046,654,405,#faa
293047,768,465,#faa
293048,597,363,#faa
293049,1009,481,#f66
293050,470,263,#faa
293051,158,70,#f66
293052,1713,834,#f66
293053,705,368,#faa
293054,484,515,#aaf
293055,2024,520,#f66
293056,469,544,#aaf
293057,231,118,#faa
293058,886,850,#faa
293059,591,315,#faa
293060,660,499,#faa
293061,553,487,#faa
293062,19,14,#faa
293063,676,477,#faa
293064,169,96,#faa
293065,1,1,#ddd
293066,703,522,#faa
293067,661,362,#faa
293068,382,648,#aaf
293069,1101,692,#faa
293070,1162,583,#faa
293071,787,706,#faa
293072,1218,533,#f66
293073,541,433,#faa
293074,1125,634,#faa
293075,1520,554,#f66
293076,796,293,#f66
293077,1021,601,#faa
293078,1193,681,#faa
293079,1292,688,#faa
293080,476,248,#faa
293081,861,527,#faa
