CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
10001,742,262,Trump,3131,1799,1030,7.2
10002,1318,181,Trump,3744,2455,1532,3.9
10003,663,94,Trump,1766,1195,776,4.4
10004,869,96,Trump,2147,1525,985,2.6
10005,180,9,Trump,476,282,191,2.5
10006,348,334,Trump,2122,1465,698,8.3
10007,128,452,Clinton,3182,1396,588,16.9
10008,49,98,Clinton,1101,348,150,16.7
10009,605,146,Trump,2115,1251,774,4.3
10010,296,37,Trump,7142,576,336,6.6
10011,592,130,Trump,9194,1253,739,4.2
10013,749,268,Trump,2848,1751,1055,9.3
10015,514,84,Trump,1192,915,606,4.7
10016,413,78,Trump,1098,800,511,4
10017,374,119,Trump,1272,816,505,6.3
10018,1090,185,Trump,3021,2036,1297,2.6
10019,995,264,Trump,3581,2241,1289,8
10020,488,154,Trump,2067,1155,664,14
10021,940,138,Trump,3019,1802,1121,6.5
10022,584,107,Trump,1387,981,703,3.7
10023,768,91,Trump,1720,1269,884,3.2
10024,501,42,Trump,1133,785,547,2.9
30001,872,215,Trump,3739,2220,1133,41.6
30002,1392,222,Trump,3742,2725,1681,26.9
30003,944,211,Trump,3617,2210,1191,37.4
30004,716,190,Trump,3688,1996,939,47.8
50001,150,120,Trump,1299,588,275,24.3
50002,290,862,Clinton,5885,2663,1189,17.8
50003,900,183,Trump,3792,1962,1126,10.4
50004,406,313,Trump,1630,1528,737,12.8
50005,585,405,Trump,3594,1990,1034,13.8
50006,238,38,Trump,1252,443,284,4.1
50007,696,63,Trump,1430,1104,786,5.1
50009,133,44,Trump,469,279,195,5.4
50011,1193,123,Trump,2857,2060,1340,3.6
50012,460,79,Trump,1571,889,559,5.1
50013,243,139,Trump,1293,691,399,10.6
50014,827,319,Trump,2771,1809,1198,9.1
50015,316,73,Trump,1660,651,400,22.7
50016,523,516,Trump,4797,2262,1075,35.3
50017,860,117,Trump,2575,1620,997,1.6
50018,266,118,Trump,1077,694,407,8.5
50019,703,265,Trump,1955,1482,1034,3.4
50020,172,1056,Clinton,5871,2986,1260,16.6
50021,587,173,Trump,2622,1204,791,6.6
50022,605,90,Trump,784,1105,712,3.3
50023,338,48,Trump,769,655,397,4.7
50024,1195,264,Trump,4678,2692,1522,12.2
50025,1110,210,Trump,3749,2243,1359,10.5
50026,968,107,Trump,2164,1584,1102,4.7
50027,211,20,Trump,502,353,238,3.1
50028,573,114,Trump,1630,1102,711,14.2
50029,803,140,Trump,2270,1528,968,6.3
50030,564,46,Trump,1416,1043,626,2.7
50031,157,53,Trump,812,454,214,22.7
50032,66,9,Trump,582,111,77,0
50033,757,64,Trump,1250,1245,837,2.2
50034,994,321,Trump,3209,2220,1397,5.1
50035,913,228,Trump,2617,1778,1175,5.1
50036,2,1,Trump,6,0,3,0
50037,228,42,Trump,776,463,284,10.2
50038,191,34,Trump,737,418,237,13.6
50039,211,90,Trump,976,534,314,6.4
50040,320,158,Trump,1515,880,496,10.1
70001,1024,250,Trump,2855,2158,1342,12.8
70002,1335,599,Trump,5807,3788,2046,31.4
70003,2146,701,Trump,5921,4364,2993,9.4
70004,1986,592,Trump,4489,3999,2725,9
90001,784,82,Trump,2097,1399,895,3.7
90002,585,57,Trump,1171,894,665,1.3
90003,246,22,Trump,596,365,275,5.5
90004,458,22,Trump,984,657,490,6.7
90005,105,9,Trump,206,157,118,1.3
90006,637,80,Trump,1842,1182,755,2.1
90007,126,8,Trump,334,240,138,2.1
90008,217,17,Trump,434,334,247,2.4
90009,98,11,Trump,249,166,114,1.2
90010,453,79,Trump,966,805,560,3.1
90011,76,7,Trump,175,115,86,6.1
110101,218,10,Trump,478,360,231,3.3
110201,118,10,Trump,335,214,135,4.7
110202,47,7,Trump,141,79,58,1.3
110301,202,8,Trump,373,297,213,2.7
110303,33,7,Trump,102,69,40,1.4
110401,117,9,Trump,223,167,130,3
110402,121,7,Trump,214,178,132,3.9
110404,19,0,Trump,35,27,20,0
130001,343,124,Trump,1260,802,485,39
130002,320,233,Trump,2698,1340,581,63.3
130003,454,266,Trump,3183,1656,764,50
130004,60,29,Trump,274,157,90,51.6
130005,414,380,Trump,3535,1873,848,61.6
130006,55,5,Trump,156,89,63,15.7
130007,461,306,Trump,3310,1699,799,61.6
130008,196,83,Trump,752,498,290,47.6
130009,67,10,Trump,128,117,83,8.5
130010,360,200,Trump,2162,1085,574,54.2
130011,36,6,Trump,82,52,42,5.8
130012,418,220,Trump,2039,1308,658,55.5
130013,881,354,Trump,3862,2393,1293,44.2
130014,153,56,Trump,700,415,216,52.5
130015,518,421,Trump,3088,2081,983,61.9
130016,90,41,Trump,349,233,137,48.1
130017,337,536,Clinton,3629,2204,905,81
130018,465,334,Trump,2682,1607,834,66.5
130019,152,70,Trump,756,478,238,42.5
130020,1668,441,Trump,4865,3316,2196,28.3
130021,131,21,Trump,348,223,153,16.6
130022,336,94,Trump,964,672,447,35.6
130023,185,156,Trump,1600,756,352,52.9
130024,518,265,Trump,2489,1438,826,47.3
150101,640,153,Trump,2128,1344,832,10.1
150102,649,186,Trump,2071,1318,872,8.8
150103,873,124,Trump,1760,1398,1036,5.2
150104,436,90,Trump,1059,782,537,9.3
150205,1022,218,Trump,2648,1977,1293,6.7
150206,347,56,Trump,681,577,421,6.4
150207,223,23,Trump,528,373,256,4
150208,409,61,Trump,923,646,481,5.4
150209,336,61,Trump,806,560,414,4.1
150210,439,68,Trump,1007,700,522,5.9
150211,219,27,Trump,462,355,256,5.4
150312,365,32,Trump,765,546,409,7.9
150313,279,274,Trump,2434,1172,579,28.2
150314,1230,310,Trump,4064,2727,1598,15.5
150415,584,226,Trump,2286,1539,842,18.9
150416,603,173,Trump,2111,1318,803,19.8
150417,254,121,Trump,961,650,387,10.2
150418,729,117,Trump,1723,1293,873,13.7
170001,421,107,Trump,1801,1035,547,38.3
170002,571,91,Trump,1800,1121,678,23.5
170003,234,103,Trump,1778,868,345,55.5
190101,894,192,Trump,2240,1706,1121,11.7
190102,1416,283,Trump,3062,2543,1773,10.7
190203,1077,295,Trump,2947,2239,1423,11.6
190204,769,224,Trump,2276,1553,1024,14.2
190305,1289,119,Trump,3261,2524,1544,12.7
190306,762,207,Trump,1818,1384,1000,6.9
190407,1148,214,Trump,2540,1995,1398,9.4
190408,135,48,Trump,345,254,188,6.3
190409,356,89,Trump,1387,823,460,13.6
190410,317,55,Trump,609,499,380,5
211001,1206,641,Trump,3372,2749,2012,10.7
211002,691,731,Clinton,3166,2512,1525,14.7
211003,2153,1351,Trump,7295,5490,3763,11.9
211004,702,505,Trump,6633,2483,1296,25.7
212005,1012,617,Trump,4101,2698,1747,10.9
212006,620,245,Trump,1956,1353,916,9.9
212007,999,310,Trump,2700,1988,1407,8.2
212008,470,173,Trump,1087,943,683,7.2
212009,471,247,Trump,2207,1198,768,10.1
212010,571,222,Trump,1923,1279,850,13.5
212011,928,492,Trump,3308,2249,1527,10.3
213012,437,134,Trump,1219,906,618,10.8
213013,658,296,Trump,1994,1453,1010,7.4
213014,683,570,Trump,5090,2412,1357,28.4
213015,579,697,Clinton,6461,2471,1366,38.7
213016,897,684,Trump,4103,2636,1691,18.6
214017,643,721,Clinton,4491,2508,1474,23.9
214018,276,119,Trump,812,598,424,10.5
214019,874,580,Trump,3813,2392,1559,14.1
214020,908,994,Clinton,6407,3533,2057,26.3
214021,550,240,Trump,2033,1264,838,12.3
230001,359,48,Trump,866,666,428,8.3
230002,309,49,Trump,956,583,373,6.5
230003,268,44,Trump,951,547,317,9.1
230004,331,50,Trump,953,637,395,6.9
250001,704,473,Trump,3113,2156,1219,52.9
250002,169,16,Trump,334,280,192,13.9
