CNTYVTD,metersFromMexico
530008,275240
4690024,276927
4210302,710321
4790340,1862
294046,218347
325003B,129112
2010019,453591
4393545,533866
3510010,580932
3510011,576183
3510012,626067
3510013,573713
3510014,643495
3510015,615933
3510016,606125
3510017,640958
3510018,600356
3510019,618150
3510020,634231
3510021,570774
3510022,609588
3530001,300901
3530002,310426
3530003,302241
3530004,296358
3530005,284981
3530006,284183
3530007,272502
3530008,265358
3530009,303162
3570001,721032
3570002,715934
3570003,693092
3570004,694804
3590101,542451
3590103,535673
3590202,555718
3590203,552480
3590303,548378
3590403,530663
3590404,492671
3610001,559161
3610002,564811
3610003,567041
3610004,566232
3610005,565981
3610006,568482
3610007,566873
3610008,566969
3610009,570601
3610010,556618
3610011,563195
3610012,559901
3610013,561628
3610014,563858
3610015,562972
3610016,560819
3610017,549773
3610018,555563
3610019,549472
3610020,550713
3610021,545877
3610022,543970
3610023,545954
3610024,555594
3610025,539624
3610026,552268
3610027,557058
3610028,547624
3610029,552332
3610030,558717
3610031,567513
3610032,555914
3610033,553864
3610034,552766
3630001,433789
3630002,448124
3630003,438975
3630004,462465
3630005,412285
3630006,422051
3630007,458623
3630008,435246
3630009,424198
3630011,460178
3630012,466243
3630013,454952
3630014,456776
3630015,465794
3630016,439204
3630017,463240
3630018,419239
3630020,432976
3630021,464195
3630022,448366
3630023,464749
3630024,464487
3630025,464177
3630026,465395
3630027,460750
3630028,460790
3630029,463174
3630030,462510
3650001,724894
3650002,732466
3650003,729121
3650005,744376
3650007,752645
3650008,749255
3650009,759486
3650010,744658
3650012,731877
3650013,721591
3650014,716689
3650018,710265
3650019,725458
3650020,719030
3650022,745778
3650026,742508
3650027,738029
3650028,725845
3650029,730069
3670100,496962
3670105,501796
3670110,507816
3670111,504884
3670115,507586
3670120,502969
3670125,505396
3670130,500971
3670135,488566
4630003,108251
4630004,94676
4630005,83843
4630006,65576
4630007,57428
4630008,83628
4630009,81712
4630010,82830
4630011,93412
4630012,84993
4630013,50061
4630014,88406
4650010A,837
4650010B,2026
4650011,3273
4650012,6661
4650013,0
4650020,6410
4650021,4248
4650022,3578
4650023,6897
4650024,5934
4650030,3411
4650031,5008
4650032,1379
4650033,0
4650040,0
4650041A,0
4650041B,0
4650042,0
4650043,0
467001A,603753
467001B,606671
467001C,610331
467001D,597214
467001E,603567
467002A,576315
467002B,584810
467002C,575380
467002D,567865
467003A,592943
467003B,597920
467003C,591905
467003D,588472
467004A,591651
467004B,596625
467004C,605934
467004D,594069
467004E,584888
4710101,549918
4710102,547324
4710103,503828
4710104,515205
4710201,544446
4710203,492166
4710204,493960
4710205,539449
4710206,543893
4710301,548579
4710302,549547
4710303,550918
4710304,551804
4710401,541445
4710403,539857
4710404,525674
4750002,168927
475001E,195321
475001W,166906
475003N,179919
475003S,159674
475004E,185430
475004M,196315
475004W,178115
4770101,430388
4770104,416076
4770109,425710
4770115,418509
4770117,416009
4770121,417225
4770202,414181
4770203,419612
4770205,414595
4770208,402210
4770307,415107
4770311,406285
4770312,419856
4770316,417797
4770320,407966
4770406,414257
4770410,389446
4770413,392165
4770414,407261
4770418,416536
4770419,416744
4790122,1273
4790124,38
4790125,1627
4790128,0
4790129,258
4790130,0
